KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K00413.02,2.36,0.114,24.67458244,8.15e-05,2.0 
K00842.01,2.31,0.56,12.71809866,2.32e-05,1.0 
K00842.02,2.64,0.421,36.06588163,8.31e-05,2.0 
K00652.01,4.43,0.1635,16.08065726,8.08e-06,1.0 
K04398.01,1.597,0.0715,7.3422467,5.54e-05,1.0 
K02614.01,1.54,0.328,7.99022379,5.34e-05,1.0 
K00507.01,2.986,0.2935,18.49234792,3.31e-05,1.0 
K02448.01,3.28,0.195,13.62801048,6.23e-05,1.0 
K05207.01,0.72,0.225,18.9828305,0.000393,1.0 
K04384.01,2.414,0.305,122.358116,0.0042,1.0 
K02703.01,2.72,0.164,213.258526,0.00121,1.0 
K00843.01,6.531,0.1025,4.190425659,1.61e-06,1.0 
K02744.01,3.134,0.228,109.6469948,0.000707,1.0 
K02744.02,1.837,0.42,11.615625,0.000153,2.0 
K07749.01,1.674,0.08,133.6348207,0.000931,1.0 
K03935.01,1.234,0.045,1.093665854,1.87e-06,1.0 
K03029.01,2.24,0.234,18.9763286,0.00015,1.0 
K03029.02,1.35,0.23,6.34724702,6.77e-05,2.0 
K02377.01,1.55,0.568,13.9034057,0.000101,1.0 
K04069.01,1.36,0.4775,13.06243545,7.12e-05,1.0 
K04016.01,3.14,0.383,125.4132302,0.00039,1.0 
K02031.01,1.67,0.1405,9.30413878,2.54e-05,1.0 
K02525.01,1.95,0.098,57.2932309,0.000532,1.0 
K05211.01,0.6,0.275,3.5645249,5.58e-05,1.0 
K08111.01,2.33,0.16,359.33831,0.0117,1.0 
K01053.01,1.54,0.235,1.224866441,4.14e-06,1.0 
K01053.02,2.46,0.115,46.245164,0.000493,2.0 
K00226.01,2.249,0.125,8.30865307,1.03e-05,1.0 
K04661.01,1.01,0.14,8.61742738,6.72e-05,1.0 
K03319.02,2.794,0.16,8.23983041,4.01e-05,1.0 
K03319.01,2.64,0.04,19.5906103,0.000132,2.0 
K03319.03,1.93,0.3,3.54553077,2.16e-05,3.0 
K04550.01,1.84,0.225,140.251943,0.00168,1.0 
K03140.01,0.99,0.36,5.68879083,3.89e-05,1.0 
K00558.01,2.615,0.114,9.17858526,1.43e-05,1.0 
K02321.01,2.183,0.06,95.6114617,0.000863,1.0 
K02321.02,1.43,0.2,36.2530992,0.000961,2.0 
K02742.01,0.91,0.485,0.789160884,1.3e-06,1.0 
K02967.01,2.31,0.1515,37.3033197,0.000588,1.0 
K01855.01,3.45,0.085,58.4302648,0.000391,1.0 
K06646.01,1.38,0.07,7.1356633,5.46e-05,1.0 
K00844.01,4.629,0.301,3.709870784,3.04e-06,1.0 
K02045.01,2.01,0.137,5.47665801,1.35e-05,1.0 
K02045.03,1.31,0.155,16.9348104,0.000199,2.0 
K00845.01,6.064,0.075,16.3297527,3.61e-05,1.0 
K01683.01,1.605,0.41,9.11500269,5.08e-05,1.0 
K01061.01,2.02,0.3,41.8059544,0.000215,1.0 
K04764.01,1.251,0.12,31.4202111,0.000426,1.0 
K06653.01,1.281,0.2755,28.2682167,0.000456,1.0 
K05231.01,3.143,0.155,78.876125,0.00209,1.0 
K02100.01,1.22,0.1,4.27103727,1.51e-05,1.0 
K01059.01,1.423,0.7055,1.022678654,2.71e-06,1.0 
K02315.01,1.76,0.2515,22.1334224,0.000109,1.0 
K03004.01,2.703,0.435,20.0708757,0.000487,1.0 
K03004.02,2.72,0.13,7.03965141,7.84e-05,2.0 
K07762.01,1.122,0.218,8.5073512,9.77e-05,1.0 
K05237.01,1.84,0.424,380.39474,0.0223,1.0 
K03458.01,2.357,0.25,14.0328775,0.000291,1.0 
K06666.01,0.784,0.0985,1.118510435,7.07e-06,1.0 
K02886.01,1.318,0.185,0.88184263,3.02e-06,1.0 
K03307.01,1.209,0.5685,10.5071781,0.000108,1.0 
K01051.01,2.3,0.51,6.79685353,2.25e-05,1.0 
K04602.01,1.23,0.1245,2.85855049,2.18e-05,1.0 
K00216.01,5.899,0.46,20.17202467,9.34e-06,1.0 
K00216.02,1.343,0.2725,7.51854537,4.93e-05,2.0 
K05245.01,3.76,0.0865,7.20281185,1.27e-05,1.0 
K01727.01,5.12,0.13,49.7700907,0.000107,1.0 
K04496.01,2.133,0.126,96.384483,0.0014,1.0 
K06672.01,1.114,0.393,2.28494301,1.04e-05,1.0 
K04463.01,1.52,0.135,36.7614011,0.000964,1.0 
K05248.01,1.763,0.27,179.25465,0.0229,1.0 
K01687.01,1.416,0.0835,3.93246069,1.04e-05,1.0 
K02350.01,1.491,0.283,1.078389713,2.59e-06,1.0 
K01882.01,2.302,0.825,3.770590654,7.99e-06,1.0 
K01967.01,1.57,0.223,4.417692516,9.04e-06,1.0 
K01750.01,1.389,0.118,7.76845639,4.11e-05,1.0 
K01750.02,0.96,0.215,2.53742164,1.27e-05,2.0 
K02638.01,1.419,0.185,2.524017517,6.55e-06,1.0 
K04793.01,0.89,0.117,5.2736268,0.000158,1.0 
K04274.01,1.586,0.291,1.97507424,1.39e-05,1.0 
K02019.01,2.742,0.133,14.08826442,5.24e-05,1.0 
K07773.01,1.107,0.075,2.69339974,2.95e-05,1.0 
K03049.01,1.21,0.0845,22.4765952,0.000204,1.0 
K06680.01,0.831,0.0715,5.52507406,5.47e-05,1.0 
K05254.01,0.88,0.1315,232.916142,0.00462,1.0 
K01613.01,1.403,0.185,15.86624787,6.81e-05,1.0 
K01613.02,0.9,0.1635,94.094392,0.00305,2.0 
K01613.03,0.85,0.239,20.605501,0.000259,3.0 
K01129.01,1.48,0.131,4.89721006,2e-05,1.0 
K00849.01,2.307,0.105,10.35533116,2.09e-05,1.0 
K04477.02,2.051,0.07,9.32867952,3.81e-05,1.0 
K04477.01,1.548,0.0805,5.30179786,4.2e-05,2.0 
K07774.01,1.23,0.081,6.32589574,6.03e-05,1.0 
K02221.01,2.303,0.035,10.62788695,8.22e-05,1.0 
K02852.01,1.406,0.035,0.675650404,2.4e-06,1.0 
K06687.01,0.87,0.18,1.002591901,4.99e-06,1.0 
K02050.02,0.74,0.18,3.17796408,1.87e-05,1.0 
K04627.01,1.204,0.2015,7.51731745,9.55e-05,1.0 
K02065.01,3.24,0.156,80.2321467,0.000391,1.0 
K06689.01,1.383,0.1435,3.37116682,5.65e-05,1.0 
K04410.01,1.581,0.221,5.04404366,3.93e-05,1.0 
K02021.01,1.757,0.1675,3.76417012,1.15e-05,1.0 
K02948.01,1.328,0.08,11.39169531,7.57e-05,1.0 
K03040.01,1.503,0.045,4.8099878,2.66e-05,1.0 
K04794.01,1.03,0.0975,24.5041103,0.000659,1.0 
K04391.01,2.74,0.285,49.4746966,0.000982,1.0 
K02404.01,1.65,0.1515,2.10081629,1.48e-05,1.0 
K03356.01,2.262,0.1715,26.0841212,0.000506,1.0 
K05276.01,2.0,0.147,220.720142,0.00618,1.0 
K02811.01,0.8,0.2045,1.35477049,5.93e-06,1.0 
K00239.01,4.241,0.1475,5.640676975,3.73e-06,1.0 
K00239.02,1.495,0.155,3.62275506,1.5e-05,2.0 
K01238.01,2.18,0.2665,27.07237655,8.99e-05,1.0 
K01626.01,2.02,0.345,2.53475568,7.43e-06,1.0 
K05279.01,1.95,0.2335,103.722152,0.00234,1.0 
K00851.01,6.273,0.22,4.583520948,4.18e-06,1.0 
K00852.01,3.119,0.05,3.76181843,1.14e-05,1.0 
K04900.01,1.96,0.2235,6.6716723,5.47e-05,1.0 
K04861.01,2.223,0.0935,29.1206519,0.00038,1.0 
K02757.01,2.53,0.18,234.635652,0.00138,1.0 
K06707.01,1.717,0.345,43.535891,0.000423,1.0 
K02976.01,1.94,0.275,21.61313362,9.55e-05,1.0 
K05283.01,0.987,0.5285,18.7821603,0.000406,1.0 
K00560.01,2.76,0.4435,23.67513153,9.03e-05,1.0 
K05288.01,2.03,0.219,29.5632952,0.000217,1.0 
K04749.01,1.052,0.251,1.97650073,1.1e-05,1.0 
K04504.01,1.56,0.1395,4.13029832,5.22e-05,1.0 
K04504.02,1.617,0.1645,8.119343,0.00016,2.0 
K04549.01,1.16,0.165,2.0481582,1.75e-05,1.0 
K07785.01,2.07,0.0825,433.220461,0.00508,1.0 
K05297.01,0.8,0.33,8.0906952,0.000131,1.0 
K01627.01,5.75,0.2165,10.29674097,3.59e-05,1.0 
K01627.02,3.7,0.111,5.93919041,3.06e-05,2.0 
K01627.03,2.75,0.174,3.80675878,4.89e-05,3.0 
K02747.01,1.386,0.187,6.26404774,2.81e-05,1.0 
K02721.01,3.053,0.23,33.878639,0.000219,1.0 
K06734.01,2.196,0.29,498.27269,0.0323,1.0 
K03037.01,1.23,0.07,5.4654174,5.01e-05,1.0 
K06739.01,1.11,1.125,19.164111,0.000258,1.0 
K01736.01,2.584,0.725,31.0033072,0.00019,1.0 
K03306.01,2.268,0.535,25.1593389,0.000424,1.0 
K03361.01,2.669,0.118,65.9407869,0.00087,1.0 
K02989.01,1.377,0.37,6.33125228,3.8e-05,1.0 
K06750.01,1.012,0.3115,5.21395046,9.94e-05,1.0 
K02005.01,1.48,0.2,6.92101452,2.22e-05,1.0 
K04840.01,1.64,0.115,10.4716194,0.000153,1.0 
K05310.01,1.11,0.264,22.2903562,0.000237,1.0 
K00861.01,1.251,0.2495,2.237489571,5.02e-06,1.0 
K02699.01,1.471,0.2595,0.568874717,5.7e-07,1.0 
K02851.01,2.27,0.127,3.42064689,1.93e-05,1.0 
K02851.02,1.5,0.099,1.23935745,1.03e-05,2.0 
K02798.01,0.551,0.13,0.916142298,1.81e-06,1.0 
K03508.01,1.626,0.1255,190.800788,0.00258,1.0 
K01758.01,3.535,0.1095,5.59728249,1.41e-05,1.0 
K00563.01,2.736,0.0685,15.28467725,6.4e-05,1.0 
K06762.01,1.618,0.1165,15.08186,0.000326,1.0 
K01357.01,2.428,0.235,3.014330766,5.5e-06,1.0 
K02282.01,2.614,0.16,6.89226333,2.63e-05,1.0 
K04571.01,3.111,0.0455,47.3128645,0.000754,1.0 
K06763.01,0.547,0.118,2.44693823,1.07e-05,1.0 
K06765.01,1.265,0.354,13.05609,0.000179,1.0 
K02146.01,1.307,0.2925,2.949029106,7.72e-06,1.0 
K02062.01,2.797,0.2155,34.3511339,0.000151,1.0 
K01847.01,2.17,0.2005,26.85323647,6.69e-05,1.0 
K03375.01,2.026,0.153,47.0563327,0.000707,1.0 
K00863.01,2.983,0.528,3.167893418,3.87e-06,1.0 
K01749.01,3.123,0.0535,26.964501,0.000154,1.0 
K01362.01,2.58,0.1255,20.51360192,8.35e-05,1.0 
K00512.01,2.333,0.1055,6.51003001,1.32e-05,1.0 
K02649.01,1.334,0.3435,7.56126152,4.26e-05,1.0 
K02921.01,1.49,0.1645,16.6146221,0.000131,1.0 
K02477.01,2.334,0.211,14.02634692,4e-05,1.0 
K06777.01,1.08,0.259,13.4450174,0.000126,1.0 
K01982.01,1.814,0.312,4.88753111,2.17e-05,1.0 
K00867.01,3.372,0.295,16.08518937,3.02e-05,1.0 
K06781.01,0.93,0.179,14.5909249,0.000229,1.0 
K06783.01,1.169,0.118,11.8496351,0.000204,1.0 
K01732.01,3.352,0.19,43.3167427,0.000236,1.0 
K05331.01,1.17,0.3235,31.5034587,0.000518,1.0 
K06786.01,3.361,0.1,455.62395,0.0262,1.0 
K05333.01,2.562,0.178,20.5477769,0.000342,1.0 
K03305.01,2.325,0.393,65.6491001,0.000713,1.0 
K07795.01,0.97,0.265,5.44085762,4.88e-05,1.0 
K02114.01,2.19,0.131,4.421566535,9.73e-06,1.0 
K01370.01,2.35,0.3035,6.8833761,1.82e-05,1.0 
K03026.01,1.196,0.08,3.51575492,1.39e-05,1.0 
K02643.01,1.411,0.3715,9.08233411,4.32e-05,1.0 
K02294.01,4.226,0.299,131.485184,0.00143,1.0 
K02894.01,1.27,0.2235,10.3108232,0.000107,1.0 
K04180.01,0.6,0.14,1.121634781,3.97e-06,1.0 
K02348.01,2.519,0.08,85.7357202,0.000831,1.0 
K03136.01,0.93,0.1925,2.39161966,1.2e-05,1.0 
K06151.01,1.36,0.112,431.78556,0.0194,1.0 
K06793.01,0.824,0.128,3.62657392,2.49e-05,1.0 
K03455.01,1.216,0.3115,14.0545718,0.000161,1.0 
K03031.01,1.14,0.245,7.64809462,5.61e-05,1.0 
K02182.01,2.19,0.035,17.13263125,7.89e-05,1.0 
K02102.01,3.064,0.2185,187.746606,0.00146,1.0 
K02877.01,1.075,0.085,5.30873978,4.55e-05,1.0 
K03112.01,1.41,0.28,2.118893997,7.72e-06,1.0 
K01939.01,2.239,0.083,13.47472742,4.46e-05,1.0 
K02494.01,2.33,0.126,19.1187425,0.000172,1.0 
K02432.01,1.91,0.111,31.0572947,0.00023,1.0 
K02806.01,2.1,0.19,24.7543849,0.000137,1.0 
K02920.01,1.313,0.2575,6.73968289,6.4e-05,1.0 
K03353.01,1.7,0.0925,11.55532445,7.61e-05,1.0 
K04859.01,1.19,0.225,7.5019743,0.000114,1.0 
K04762.01,1.29,0.188,11.56722589,9.73e-05,1.0 
K00454.01,2.688,0.41,29.00789166,8.48e-05,1.0 
K02028.01,2.89,0.186,57.2488518,0.000324,1.0 
K02028.02,2.889,0.17,37.0551726,0.000261,2.0 
K02028.03,2.279,0.2115,142.545,0.00275,3.0 
K04310.01,1.3,0.195,10.7769944,0.000121,1.0 
K02420.01,1.529,0.1,10.41728722,6.7e-05,1.0 
K02420.02,0.991,0.1,5.4675514,6.16e-05,2.0 
K00873.01,2.961,0.2955,4.347288783,8.51e-06,1.0 
K02325.01,1.57,0.2605,1.025857984,1.05e-06,1.0 
K03407.01,2.89,0.4705,92.436978,0.00104,1.0 
K00220.01,4.283,0.224,2.422084188,4.83e-07,1.0 
K00220.02,1.067,0.126,4.12511935,1.94e-05,2.0 
K04358.01,2.4,0.0915,106.957467,0.00217,1.0 
K02164.01,1.372,0.0805,5.1233204,2.06e-05,1.0 
K02113.01,2.488,0.177,15.94248453,5.99e-05,1.0 
K02113.02,2.222,0.09,12.33087921,4.97e-05,2.0 
K01377.01,1.74,0.42,11.29689442,6.91e-05,1.0 
K02487.01,2.628,0.312,36.292017,0.000344,1.0 
K03056.01,1.431,0.088,6.69958851,4.3e-05,1.0 
K06849.01,2.038,0.495,12.54474243,5.63e-05,1.0 
K01700.01,1.54,0.0865,8.03753796,2.27e-05,1.0 
K04185.01,3.59,0.232,3.035206175,5.17e-06,1.0 
K03271.01,1.89,0.2085,19.5489666,0.00014,1.0 
K03271.02,1.095,0.215,7.41834569,6.47e-05,2.0 
K02180.01,2.11,0.207,11.55562042,3.1e-05,1.0 
K07832.01,0.68,0.151,3.6092231,0.000554,1.0 
K01369.01,1.626,0.177,3.016182013,9.75e-06,1.0 
K04815.01,1.12,0.185,18.3721835,0.000266,1.0 
K00877.01,2.33,0.585,5.95489993,5.48e-06,1.0 
K00877.02,2.18,0.25,12.03987488,1.83e-05,2.0 
K00877.03,1.42,0.113,20.83762895,9.65e-05,3.0 
K03443.01,2.07,0.17,96.169569,0.00109,1.0 
K03482.01,1.91,0.14,15.3317719,0.000204,1.0 
K02450.01,1.86,0.205,16.83203175,8.53e-05,1.0 
K02450.02,0.922,0.2,7.1931193,7.97e-05,2.0 
K03420.02,2.084,0.105,12.5014905,0.000154,1.0 
K03420.01,1.743,0.095,5.77451117,5.81e-05,2.0 
K01974.01,3.04,0.065,109.4450597,0.000434,1.0 
K00878.01,3.16,0.235,23.58917143,5.79e-05,1.0 
K06862.01,0.912,0.335,11.0495766,0.000187,1.0 
K07834.01,1.0,0.215,7.3812344,0.000109,1.0 
K07835.01,0.87,0.072,3.76565247,3.03e-05,1.0 
K01358.01,2.66,0.203,5.644914154,8.78e-06,1.0 
K01358.02,1.92,0.172,8.74292005,3.31e-05,2.0 
K01358.03,1.33,0.174,3.64830183,1.62e-05,3.0 
K01358.04,1.23,0.315,2.345863002,9.55e-06,4.0 
K06872.01,0.88,0.015,13.5164708,0.000379,1.0 
K02392.01,1.502,0.1315,7.42697378,5.32e-05,1.0 
K01704.01,2.535,0.2,10.4188915,2.39e-05,1.0 
K04364.01,1.127,0.155,4.56383697,4.58e-05,1.0 
K02827.01,1.147,0.215,7.06321927,4.76e-05,1.0 
K04450.01,2.018,0.155,196.436796,0.00254,1.0 
K04260.04,1.16,0.105,84.799829,0.00333,1.0 
K01501.01,1.437,0.1,2.617028373,6.59e-06,1.0 
K02598.01,2.267,0.17,29.2254372,0.00023,1.0 
K06878.01,1.11,0.1125,2.405625303,5.22e-06,1.0 
K02063.01,1.56,0.3075,3.00725068,1.14e-05,1.0 
K01517.01,3.598,0.1175,40.0686713,0.000102,1.0 
K02213.01,1.6,0.1135,3.97076603,1.11e-05,1.0 
K00887.01,2.947,0.143,7.41113177,1.36e-05,1.0 
K02890.01,1.39,0.03,8.98826122,9.23e-05,1.0 
K02959.01,2.04,0.1185,16.1558656,0.000142,1.0 
K02572.01,1.915,0.216,6.37705295,3.21e-05,1.0 
K03417.01,3.711,0.16,91.078624,0.00141,1.0 
K03303.01,2.02,0.23,29.3493852,0.000176,1.0 
K02524.01,2.534,0.277,40.9905002,0.00044,1.0 
K01518.01,3.316,0.185,27.5071114,0.000172,1.0 
K06890.01,0.778,0.2715,2.15888911,1.56e-05,1.0 
K06892.01,1.87,0.285,17.5806026,0.000539,1.0 
K02458.02,1.476,0.16,2.936587946,9.2e-06,1.0 
K02458.01,1.366,0.18,4.35407371,2.04e-05,2.0 
K02817.01,1.322,0.5415,0.634003002,1.22e-06,1.0 
K02924.01,0.78,0.19,2.279523364,8.54e-06,1.0 
K02924.02,1.88,0.202,8.85686712,2.76e-05,2.0 
K07843.01,0.789,0.488,0.619023176,4.78e-06,1.0 
K02103.01,1.477,0.0825,2.543063763,9.21e-06,1.0 
K02103.02,0.967,0.32,3.66520844,4.53e-05,2.0 
K01495.01,3.749,0.2255,15.59466045,4.23e-05,1.0 
K05408.01,1.687,0.204,415.748785,0.00694,1.0 
K02734.01,3.45,0.1185,3.8259005,1.32e-05,1.0 
K02307.01,3.03,0.071,4.150297119,7.67e-06,1.0 
K01519.01,1.472,0.195,5.1443645,2.24e-05,1.0 
K01519.02,1.722,0.101,57.132855,0.00107,2.0 
K00891.01,3.995,0.086,10.00653012,2e-05,1.0 
K03089.01,0.88,0.083,0.858546796,2.58e-06,1.0 
K02255.01,1.61,0.348,7.97033985,3.5e-05,1.0 
K03113.01,1.03,0.1565,2.46050095,1.17e-05,1.0 
K00893.01,2.66,0.445,4.40841331,1.41e-05,1.0 
K06904.01,1.28,0.21,26.1556767,0.000334,1.0 
K05413.01,2.0,0.0995,428.379308,0.0094,1.0 
K01508.01,3.05,0.1415,22.0459163,0.000111,1.0 
K03337.01,1.394,0.447,11.16622885,9.66e-05,1.0 
K03430.01,0.9,0.125,13.9248005,0.00018,1.0 
K06907.01,1.14,0.144,4.60687717,8.51e-05,1.0 
K04403.01,1.537,0.09,5.88350251,6.53e-05,1.0 
K02324.01,1.55,0.56,1.204686597,4.45e-06,1.0 
K05418.01,1.21,0.19,14.2673439,0.000231,1.0 
K07847.01,3.93,0.64,399.37587,0.0688,1.0 
K04325.01,0.88,0.515,0.609926502,2.44e-06,1.0 
K01708.01,3.991,0.1365,32.7737631,0.000179,1.0 
K01472.01,6.479,0.085,85.3514875,0.000103,1.0 
K02663.01,1.094,0.12,9.88736642,8.5e-05,1.0 
K01840.01,4.405,0.17,7.03932913,1.75e-05,1.0 
K01527.01,3.64,0.0,192.667139,0.00102,1.0 
K02778.01,1.584,0.19,2.21571296,7.63e-06,1.0 
K04797.01,1.26,1.225,9.97202023,8.65e-05,1.0 
K03339.01,2.55,0.0835,23.1334494,0.000108,1.0 
K07849.01,1.451,0.694,5.0263815,0.000151,1.0 
K02523.01,2.88,0.3265,13.0313583,0.000104,1.0 
K02523.02,1.8,0.0955,2.61090223,2.11e-05,2.0 
K01842.01,2.539,0.339,16.84183355,6.24e-05,1.0 
K04361.01,4.032,0.32,75.8781344,0.000355,1.0 
K02247.01,0.79,0.244,4.45743267,1.71e-05,1.0 
K06918.01,6.17,0.115,0.902403563,2.31e-07,1.0 
K01710.01,1.9,0.63,14.20442616,6.29e-05,1.0 
K04268.01,0.59,0.173,0.849906734,3.91e-06,1.0 
K05433.01,2.414,0.415,237.819002,0.00703,1.0 
K08270.01,2.09,0.26,338.00692,0.0124,1.0 
K04630.01,2.46,0.3805,44.6966177,0.000947,1.0 
K07850.01,3.379,0.444,66.119119,0.00104,1.0 
K06164.01,2.043,0.065,29.5126153,0.000583,1.0 
K05435.01,1.71,1.5,15.9961296,0.000116,1.0 
K01499.01,2.166,0.21,14.16400071,2.47e-05,1.0 
K01499.03,0.818,0.055,6.20920207,4.79e-05,2.0 
K01499.02,0.569,0.1725,0.840594032,4.46e-06,3.0 
K02760.01,2.69,0.405,56.5732318,0.00031,1.0 
K02527.01,0.55,0.475,1.385787741,4.4e-06,1.0 
K02683.01,4.49,0.419,126.4451275,0.000432,1.0 
K01511.01,1.648,0.2035,2.578852119,5.7e-06,1.0 
K06931.01,1.573,0.145,2.54031121,2.2e-05,1.0 
K06166.01,2.77,0.1605,12.2064304,0.000994,1.0 
K06166.02,2.464,0.075,6.6513189,0.000604,2.0 
K04209.01,2.35,0.0555,9.9092109,0.000216,1.0 
K02095.01,1.465,0.115,1.434745129,3.37e-06,1.0 
K00900.01,4.383,0.03,13.81020318,2.97e-05,1.0 
K04759.01,1.54,0.635,17.7662938,0.000263,1.0 
K01711.01,2.19,0.216,55.673582,0.000272,1.0 
K02274.01,2.712,0.203,9.98970266,4.17e-05,1.0 
K02400.01,2.476,0.242,11.6191707,4.59e-05,1.0 
K02363.01,1.099,0.2175,3.13877646,1.16e-05,1.0 
K02594.01,2.459,0.285,11.25401871,6.51e-05,1.0 
K05458.01,2.19,0.085,56.648588,0.000786,1.0 
K02328.01,2.569,0.4615,25.2034128,0.000137,1.0 
K01569.01,2.81,0.155,13.75207851,3.4e-05,1.0 
K03286.01,1.41,0.115,18.1373788,0.000231,1.0 
K06954.01,0.867,0.2485,6.613671,0.000112,1.0 
K02615.01,1.688,0.2305,4.69505576,3.94e-05,1.0 
K03954.02,1.92,0.0935,5.71668787,3.32e-05,1.0 
K03984.01,1.095,0.2335,1.44445234,3.12e-06,1.0 
K05466.01,1.897,0.2,4.09513876,3.04e-05,1.0 
K02304.01,2.357,0.241,11.17392077,6.13e-05,1.0 
K00460.01,3.43,0.24,17.58751692,2.11e-05,1.0 
K00460.02,1.058,0.13,36.0484798,0.000945,2.0 
K04747.01,2.456,0.0865,92.263742,0.00265,1.0 
K03038.01,1.379,0.175,1.4951513,1.2e-05,1.0 
K04776.01,1.07,0.355,7.5861587,0.00012,1.0 
K02411.01,3.653,0.094,11.96407399,5.74e-05,1.0 
K03383.01,2.236,0.3685,37.8862977,0.000465,1.0 
K03352.01,1.284,0.218,10.35857039,6.26e-05,1.0 
K02619.01,1.779,0.169,3.27645723,1.63e-05,1.0 
K07587.01,2.762,0.107,366.088938,0.00488,1.0 
K04487.01,0.72,0.208,3.48754109,3.93e-05,1.0 
K06966.01,1.35,0.231,8.47484677,7.2e-05,1.0 
K02338.01,2.72,0.205,66.1843646,0.000454,1.0 
K05475.01,2.829,0.511,224.150923,0.00179,1.0 
K05475.02,1.139,0.2265,5.68325648,3.75e-05,2.0 
K05476.01,2.873,0.1205,148.179343,0.00565,1.0 
K07863.01,0.52,0.1975,5.2449156,0.000133,1.0 
K00235.01,2.04,0.327,5.63252508,6.01e-06,1.0 
K02504.01,2.083,0.045,20.49041,0.000175,1.0 
K06970.01,1.548,0.195,40.7698541,0.000619,1.0 
K06971.01,2.01,0.29,129.222771,0.00268,1.0 
K03486.01,1.63,0.2115,19.0689513,0.000344,1.0 
K01014.01,2.04,0.2285,17.31711739,4.69e-05,1.0 
K02259.01,2.402,0.256,12.19140405,4.51e-05,1.0 
K05480.01,5.707,0.1,57.140035,0.00195,1.0 
K06978.01,0.84,0.22,3.07551068,1.92e-05,1.0 
K00904.01,1.85,0.194,2.211116989,2.69e-06,1.0 
K00904.04,1.62,0.1595,4.617490562,9.45e-06,2.0 
K00904.02,1.9,0.105,27.9541337,0.000173,3.0 
K00904.05,1.75,0.345,10.19849255,3.25e-05,4.0 
K00904.03,1.85,0.105,42.1406089,0.000314,5.0 
K03298.01,2.24,0.222,29.9632816,0.0002,1.0 
K05482.01,2.96,1.0155,31.70757465,nan,1.0 
K00521.01,4.62,0.135,10.16102353,9.18e-06,1.0 
K00521.02,1.19,0.09,10.8206034,0.000157,2.0 
K06172.01,1.18,0.08,31.8134892,0.000302,1.0 
K02116.01,1.602,0.095,1.252753881,2.23e-06,1.0 
K06983.01,0.88,0.085,7.7021729,0.000131,1.0 
K01017.01,2.85,0.09,17.44486016,4.9e-05,1.0 
K06985.01,1.075,0.19,10.9279755,0.000267,1.0 
K07870.01,1.513,0.59,92.552007,0.00131,1.0 
K03255.01,1.56,1.05,66.6504521,0.000395,1.0 
K01746.01,2.371,0.27,11.79161234,5.36e-05,1.0 
K03123.01,2.094,0.265,15.2311195,0.000174,1.0 
K04838.01,0.88,0.086,13.2965044,0.000407,1.0 
K04838.03,1.1,0.077,24.0721647,0.000452,2.0 
K04838.02,7.62,0.325,6.33342309,9.86e-05,3.0 
K01920.01,2.027,0.1425,16.57099265,4.02e-05,1.0 
K01920.02,0.742,0.2205,10.1384691,0.000192,2.0 
K07873.01,0.601,0.07,1.93188768,1.04e-05,1.0 
K01910.01,2.44,0.15,34.2685741,0.000113,1.0 
K01910.02,1.15,0.1705,18.3848331,0.000262,2.0 
K06993.01,1.09,0.075,13.8086331,0.000239,1.0 
K06994.01,0.859,0.09,4.25907841,5.86e-05,1.0 
K01072.01,1.95,0.655,10.12805158,2.98e-05,1.0 
K03494.01,1.966,0.238,42.8774169,0.00026,1.0 
K02140.01,2.43,0.08,41.6977582,0.000189,1.0 
K01070.01,2.584,0.081,6.61836309,2.53e-05,1.0 
K01070.02,4.117,0.155,107.7214092,0.000828,2.0 
K01070.03,2.108,0.075,92.77779,0.0165,3.0 
K07875.01,1.406,0.15,21.9711574,0.000604,1.0 
K02569.01,1.217,0.0665,8.28157072,7.34e-05,1.0 
K02344.01,0.98,0.175,1.118547814,3.23e-06,1.0 
K07002.01,1.712,0.192,4.83014159,1.86e-05,1.0 
K07003.01,1.106,0.201,2.41194057,1.84e-05,1.0 
K01986.01,3.61,0.1745,148.4601819,0.00078,1.0 
K01986.02,1.21,0.276,7.12766417,3.99e-05,2.0 
K02144.01,2.848,0.2775,38.6715843,0.00021,1.0 
K02174.01,2.44,0.1695,6.69332825,2.1e-05,1.0 
K02174.03,1.71,0.0875,7.72513619,5.34e-05,2.0 
K02174.02,2.05,0.075,33.1362861,0.000239,3.0 
K02174.04,0.96,0.195,3.01609637,2.72e-05,4.0 
K02822.01,2.846,0.098,4.44589508,1.75e-05,1.0 
K00522.01,3.778,0.205,12.82993461,1.6e-05,1.0 
K01731.01,2.36,0.07,2.59488443,1.06e-05,1.0 
K02193.01,1.436,0.4415,2.361724472,3.49e-06,1.0 
K02193.02,1.32,0.11,4.16288745,1.68e-05,2.0 
K04015.01,2.412,0.08,133.303247,0.00133,1.0 
K07007.01,0.77,0.09,0.800263219,2.21e-06,1.0 
K01142.01,1.581,0.045,3.75574267,1.07e-05,1.0 
K05499.01,1.19,0.374,122.58481,0.0119,1.0 
K07591.01,1.3,0.362,328.32211,0.0135,1.0 
K07016.01,1.511,0.185,384.847556,0.00711,1.0 
K04846.02,1.516,0.1175,32.526674,0.000904,1.0 
K02293.01,1.628,0.12,15.03366411,6.42e-05,1.0 
K04393.01,1.264,0.159,1.62888267,9.38e-06,1.0 
K08275.01,3.76,0.07,389.875816,0.00719,1.0 
