KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K02422.02,1.6153,0.108,57.3885599,0.0005752,2.0 
K02426.01,0.807,0.305,4.16055856,2.79e-05,1.0 
K02433.02,2.974,0.0905,10.04377084,6.95e-05,1.0 
K02433.01,3.154,0.1654,15.1622735,0.0001335,2.0 
K02433.03,2.929,0.0525,56.414742,0.001249,3.0 
K02433.04,2.3733,0.4075,27.9038807,0.0005305,4.0 
K02433.06,1.599,0.4475,6.06330298,5.56e-05,5.0 
K02433.07,2.8584,0.3505,86.432217,0.00157,6.0 
K02440.01,1.597,0.3574,4.8663815,2.51e-05,1.0 
K02442.01,1.8976,0.1225,25.1934467,0.0001798,1.0 
K02442.02,1.3429,0.4326,12.3102846,0.0001442,2.0 
K02443.01,1.155,0.106,6.79164786,4.41e-05,1.0 
K02443.02,1.138,0.1688,11.8377261,0.0001046,2.0 
K02462.01,1.491,0.1344,12.14692791,7.94e-05,1.0 
K02463.01,1.2396,0.071,7.46725407,5.3e-05,1.0 
K02469.01,2.9168,0.0785,131.187711,0.001795,1.0 
K02473.01,1.5346,0.083,3.24416463,1.7e-05,1.0 
K02473.03,1.4112,0.2279,14.5123099,0.0002613,2.0 
K02484.01,1.788,0.4163,68.8861915,0.000527,1.0 
K02486.01,1.6184,0.1395,4.26795346,1.07e-05,1.0 
K02488.01,1.598,0.1474,12.4127754,0.000108,1.0 
K02492.01,1.0,0.1055,0.984940167,3.18e-06,1.0 
K02498.01,0.775,0.2326,6.73811219,4.09e-05,1.0 
K02498.02,0.859,0.2835,13.0600422,0.0001179,2.0 
K02503.01,1.012,0.0595,14.8200454,0.0001251,1.0 
K02517.01,1.0103,0.0535,0.968526023,2.33e-06,1.0 
K02521.01,2.319,0.063,28.474748,0.0002045,1.0 
K02521.02,1.461,0.0595,4.86635506,2.42e-05,2.0 
K02522.01,1.2007,0.0896,5.60401852,1.36e-05,1.0 
K02529.01,2.342,0.254,16.79713874,8.56e-05,1.0 
K02529.02,2.339,0.1374,64.001151,0.0008289,2.0 
K02538.01,1.4396,0.1144,39.8313153,0.0002351,1.0 
K02547.01,1.758,0.2121,8.94343618,4.61e-05,1.0 
K02556.01,1.408,0.3795,40.8365012,0.0004586,1.0 
K02559.01,1.244,0.1397,9.30989826,5.6e-05,1.0 
K02561.01,1.257,0.1095,3.23941344,1.7e-05,1.0 
K02571.01,1.0635,0.0855,0.826284195,1.4e-06,1.0 
K02581.01,0.895,0.0795,12.73726137,9.79e-05,1.0 
K02582.01,1.965,0.0785,40.030989,0.000279,1.0 
K02583.01,0.625,0.0944,3.03266154,1.32e-05,1.0 
K02585.01,0.968,0.0635,5.34185804,4.41e-05,1.0 
K02585.02,0.9502,0.1195,10.42312041,7.17e-05,2.0 
K02585.03,0.795,0.041,7.87840906,7.55e-05,3.0 
K02597.01,1.401,0.0565,8.00505342,4.74e-05,1.0 
K02597.02,1.487,0.1051,12.13065293,9.11e-05,2.0 
K02597.03,1.304,0.062,5.61357629,3.87e-05,3.0 
K02607.01,1.644,0.0935,0.754458321,6.74e-07,1.0 
K02612.01,0.549,0.0985,4.61226344,3.26e-05,1.0 
K02612.02,0.571,0.0875,7.57306383,6.08e-05,2.0 
K02631.01,1.5032,0.132,44.9977478,0.0005816,1.0 
K02635.01,1.2931,0.0375,22.2419092,0.0002454,1.0 
K02636.01,0.598,0.042,3.88151335,2.03e-05,1.0 
K02641.01,1.229,0.213,3.55559864,2.28e-05,1.0 
K02657.01,0.5925,0.2095,5.22404435,3.53e-05,1.0 
K02668.01,1.353,0.043,0.679336272,7.17e-07,1.0 
K02672.01,4.495,0.08,88.5112563,0.0001156,1.0 
K02672.02,3.1516,0.0577,42.99255302,4.51e-05,2.0 
K02674.03,1.398,0.071,2.53573424,1.02e-05,1.0 
K02674.02,1.535,0.2045,11.1726994,0.0001387,2.0 
K02675.01,2.2151,0.2577,5.448325286,7.35e-06,1.0 
K02675.02,1.0326,0.077,1.116128999,3.12e-06,2.0 
K02678.01,1.8339,0.096,3.833091178,5.35e-06,1.0 
K02681.01,6.9395,0.181,135.4977745,0.0003513,1.0 
K02681.02,2.154,0.092,22.2508247,0.0001496,2.0 
K02686.01,3.442,0.1539,211.0338741,0.0008259,1.0 
K02687.01,0.7769,0.6022,1.716831717,2.16e-06,1.0 
K02687.02,1.0219,0.2245,8.16735028,1.56e-05,2.0 
K02694.01,1.416,0.3045,0.84338011,8.21e-07,1.0 
K02694.02,1.5535,0.0641,6.56606842,1.68e-05,2.0 
K02698.01,3.495,0.0852,87.9732136,0.0005231,1.0 
K02707.01,2.6041,0.1199,58.0341086,0.0002862,1.0 
K02707.03,2.0964,0.1361,26.6757054,0.0001186,2.0 
K02707.02,1.3413,0.164,14.42525565,9.8e-05,3.0 
K02711.01,1.561,0.2177,9.02439889,2.6e-05,1.0 
K02711.02,1.3895,0.1912,17.34088462,8.29e-05,2.0 
K02714.01,2.464,0.1252,14.38338734,8.56e-05,1.0 
K02714.02,2.816,0.1306,47.3183002,0.0004256,2.0 
K02717.01,1.289,0.123,0.929906678,7.46e-07,1.0 
K02720.01,1.35,0.249,6.57158198,2.23e-05,1.0 
K02729.01,1.6305,0.147,14.88801098,8.77e-05,1.0 
K02730.01,1.342,0.0595,4.52158888,2.18e-05,1.0 
K02733.01,1.0305,0.1685,5.62005172,2.13e-05,1.0 
K02743.01,1.395,0.2665,11.87456832,3.75e-05,1.0 
K02753.01,1.047,0.0755,0.935118057,2.76e-06,1.0 
K02754.01,0.962,0.092,1.341555127,3.7e-06,1.0 
K02755.01,0.839,0.0805,8.48293296,3.69e-05,1.0 
K02756.01,1.054,0.062,0.665026916,1.6e-06,1.0 
K02762.01,2.787,0.056,132.9968322,0.0009243,1.0 
K02768.01,1.081,0.049,11.8288843,0.0003158,1.0 
K02768.02,1.492,0.0635,14.7512034,0.000204,2.0 
K02785.01,1.845,0.3505,4.7683049,1.9e-05,1.0 
K02790.01,1.0046,0.095,14.00947528,7e-05,1.0 
K02792.01,0.697,0.415,2.12823928,1.06e-05,1.0 
K02801.01,0.87,0.0945,6.99205491,3.79e-05,1.0 
K02803.01,0.555,0.0897,2.37752807,1.12e-05,1.0 
K02805.01,0.88,0.0385,1.877882748,7.35e-06,1.0 
K02815.01,0.8879,0.061,1.545392765,8.15e-06,1.0 
K02828.01,2.295,0.036,59.4970952,0.0005052,1.0 
K02829.01,1.86,0.0515,10.61345435,2.66e-05,1.0 
